127.0.0.1 - - [15/Aug/2025:12:03:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [15/Aug/2025:12:03:11 +0530] "GET /RestaurantMenuManagement/index.jsp HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [15/Aug/2025:12:03:11 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Aug/2025:12:03:13 +0530] "GET /RestaurantMenuManagement/addItem.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [15/Aug/2025:12:03:38 +0530] "POST /RestaurantMenuManagement/addItem.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [15/Aug/2025:12:03:42 +0530] "GET /RestaurantMenuManagement/index.jsp HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [15/Aug/2025:12:03:43 +0530] "GET /RestaurantMenuManagement/viewMenu.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [15/Aug/2025:16:19:51 +0530] "GET /RestaurantMenuManagement/updateItem.jsp?index=0 HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [15/Aug/2025:16:20:18 +0530] "GET /RestaurantMenuManagement/viewMenu.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [15/Aug/2025:16:20:22 +0530] "GET /RestaurantMenuManagement/index.jsp HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [15/Aug/2025:16:20:25 +0530] "GET /RestaurantMenuManagement/addItem.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [15/Aug/2025:16:21:02 +0530] "POST /RestaurantMenuManagement/addItem.jsp HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [15/Aug/2025:16:21:09 +0530] "GET /RestaurantMenuManagement/index.jsp HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [15/Aug/2025:16:21:11 +0530] "GET /RestaurantMenuManagement/viewMenu.jsp HTTP/1.1" 200 1446
