127.0.0.1 - - [01/Sep/2025:11:55:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:09 +0530] "GET /WorkNest/ HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:09 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:11 +0530] "GET /WorkNest/login.jsp HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:19 +0530] "GET /WorkNest/login.jsp HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:25 +0530] "GET /WorkNest/register HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:31 +0530] "GET /WorkNest/login HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:44 +0530] "POST /WorkNest/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:45 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 7221
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:50 +0530] "POST /WorkNest/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:51 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:55:57 +0530] "GET /WorkNest/admin/comments HTTP/1.1" 200 2667
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:00 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:01 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:11 +0530] "GET /WorkNest/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:11 +0530] "GET /WorkNest/login HTTP/1.1" 200 1831
